eid,b1_mctype,b2_mctype,b1tau_mctype,b2tau_mctype
268,Dl,Dstarstar_res,NoTau,NoTau
269,Had,Dstarstar_res,NoTau,NoTau
270,Dl,Dstarl,NoTau,NoTau
271,Had,Dstarl,NoTau,NoTau
272,Dstarl,Dl,NoTau,NoTau
273,Dstarstar_res,Had,tau_mu,NoTau
274,Dstarl,Dstarl,NoTau,NoTau
275,Dstarl,Had,NoTau,NoTau
276,Had,Dstarl,NoTau,NoTau
277,Had,Dstarstar_res,NoTau,NoTau
278,Dstarl,Dstarstar_res,NoTau,NoTau
279,Had,Dstarl,NoTau,NoTau
280,Had,Dstarstar_res,NoTau,NoTau
281,Dstarl,Dstarl,NoTau,NoTau
282,Dstarl,Dl,NoTau,NoTau
283,Had,Dstarl,NoTau,NoTau
284,Had,Dstarl,NoTau,NoTau
285,Had,Dstarl,NoTau,NoTau
286,Dstarl,Dstarl,NoTau,NoTau
287,Dstarstar_res,Had,NoTau,NoTau
288,Dstarstar_res,Had,NoTau,NoTau
289,Dl,Had,NoTau,NoTau
290,Had,Had,NoTau,NoTau
291,Dstarl,Dstarstar_nonres,NoTau,NoTau
292,Dstarl,Dstarl,NoTau,NoTau
293,Dstarl,Dstarstar_res,NoTau,NoTau
294,Dstarl,Had,NoTau,NoTau
295,Dstarstar_res,Had,NoTau,NoTau
296,Had,Had,NoTau,NoTau
297,Dstarstar_nonres,Dstarl,NoTau,NoTau
298,Had,Dl,NoTau,NoTau
299,Dstarl,Dstarl,NoTau,NoTau
300,Dstarstar_res,Dl,NoTau,NoTau
301,Dl,Had,NoTau,NoTau
302,Dl,Had,NoTau,NoTau
303,Dstarstar_res,Dstarl,NoTau,NoTau
304,Dstarstar_res,Dstarstar_res,NoTau,NoTau
305,Had,Had,NoTau,NoTau
306,Dl,Dstarl,NoTau,NoTau
307,Dstarl,Dstartau,NoTau,tau_h
308,Dstarl,Dstarl,NoTau,NoTau
309,Dstarstar_res,Had,NoTau,NoTau
310,Dl,Had,NoTau,NoTau
311,Dstarl,Dstartau,NoTau,tau_h
312,Dstarl,Dstarl,NoTau,NoTau
313,Dstarl,Dstarstar_res,NoTau,NoTau
314,Had,Had,NoTau,NoTau
315,Had,Dstarl,NoTau,NoTau
316,Dstartau,Had,tau_mu,NoTau
317,Dstarstar_res,Dstarl,NoTau,NoTau
318,Had,Dl,NoTau,NoTau
319,Dstarl,Dl,NoTau,NoTau
320,Had,Had,NoTau,NoTau
321,Dstarl,Had,NoTau,NoTau
322,Dl,Dstarstar_res,NoTau,tau_mu
323,Dstarl,Dstarl,NoTau,NoTau
324,Dstarl,Dstarl,NoTau,NoTau
325,Dl,Had,NoTau,NoTau
326,Had,Dstarl,NoTau,NoTau
327,Had,Dstarstar_res,NoTau,NoTau
328,Dstarl,Had,NoTau,NoTau
329,Had,Dl,NoTau,NoTau
330,Dstarl,Dstarl,NoTau,NoTau
331,Had,Dstarstar_res,NoTau,NoTau
332,Had,Dstarstar_res,NoTau,NoTau
333,Had,Dl,NoTau,NoTau
334,Dl,Dl,NoTau,NoTau
335,Had,Dstarl,NoTau,NoTau
336,Had,Dstarl,NoTau,NoTau
337,Had,Dstarl,NoTau,NoTau
338,Had,Dstarl,NoTau,NoTau
339,SL,Dl,NoTau,NoTau
340,Dstarl,Dstarl,NoTau,NoTau
341,Had,Had,NoTau,NoTau
342,Dl,Dstarl,NoTau,NoTau
343,Dstarl,Had,NoTau,NoTau
344,Had,Dstarl,NoTau,NoTau
345,Dstarl,Dl,NoTau,NoTau
346,Had,Dstarl,NoTau,NoTau
347,Dstarl,Had,NoTau,NoTau
348,Had,Had,NoTau,NoTau
349,Dstarstar_res,Dstarl,NoTau,NoTau
350,Had,Dl,NoTau,NoTau
351,Dstarstar_res,Dstarl,NoTau,NoTau
352,Had,Dstarl,NoTau,NoTau
353,Had,Dstarl,NoTau,NoTau
354,Dstarstar_res,Dstarl,NoTau,NoTau
355,Dstarstar_res,Dstarl,NoTau,NoTau
356,SL,Dl,NoTau,NoTau
357,Dstarl,Dstarl,NoTau,NoTau
358,Dstarl,Had,NoTau,NoTau
359,Dl,Had,NoTau,NoTau
360,Dstarl,Had,NoTau,NoTau
361,Had,Dstarl,NoTau,NoTau
362,Dl,Had,NoTau,NoTau
363,Dstarl,Had,NoTau,NoTau
364,Dstarl,Dstarl,NoTau,NoTau
365,Dstarstar_res,Dstarstar_res,NoTau,NoTau
366,Dl,Dstarl,NoTau,NoTau
367,Dl,Dl,NoTau,NoTau
368,Had,Had,NoTau,NoTau
369,Dl,Dstarstar_res,NoTau,tau_e
370,Dl,Had,NoTau,NoTau
371,Had,Dstarl,NoTau,NoTau
372,Dstarl,Had,NoTau,NoTau
373,Dstarl,Dstarstar_res,NoTau,NoTau
374,Had,Had,NoTau,NoTau
375,Had,Dstarl,NoTau,NoTau
376,Dstarl,Dstarstar_res,NoTau,NoTau
377,Had,Had,NoTau,NoTau
378,Had,Dstarl,NoTau,NoTau
379,Dstarstar_res,Had,NoTau,NoTau
380,Dstarl,Dl,NoTau,NoTau
381,Had,Had,NoTau,NoTau
382,Had,Dstarstar_res,NoTau,NoTau
383,Had,Dstarl,NoTau,NoTau
384,Dstarl,Dstarl,NoTau,NoTau
385,Dl,Had,NoTau,NoTau
386,Dstarstar_res,Dl,NoTau,NoTau
387,Dstarstar_res,Had,NoTau,NoTau
388,Dstartau,Had,tau_h,NoTau
389,Had,Had,NoTau,NoTau
390,Dstarstar_res,Had,NoTau,NoTau
391,Dstarl,Dl,NoTau,NoTau
392,Dstarl,Had,NoTau,NoTau
393,Had,Dstarstar_res,NoTau,NoTau
394,Dstarl,Dl,NoTau,NoTau
395,Dstarl,Had,NoTau,NoTau
396,Dstarl,Dstarstar_res,NoTau,NoTau
397,Dstarl,Had,NoTau,NoTau
398,Had,Dstarstar_res,NoTau,tau_h
399,Had,Had,NoTau,NoTau
400,Dstarl,Dl,NoTau,NoTau
401,Had,Dstarl,NoTau,NoTau
402,Dstarl,Dstarl,NoTau,NoTau
403,Dstarstar_res,Dl,NoTau,NoTau
404,Had,Had,NoTau,NoTau
405,Dstarl,Dstarl,NoTau,NoTau
406,Dl,Had,NoTau,NoTau
407,Dstarl,Had,NoTau,NoTau
408,Had,Dstarl,NoTau,NoTau
